links,company_name,domain
https://www.mondelezinternational.com/investors/corporate-governance/contacting-the-board-and-reporting-wrongdoings/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/financials/annual-reports/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/stock/investing-in-us/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/stock/spin-off-information/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/stock/information-for-former-cadbury-shareholders/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/stock/compensation-and-benefits/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/ir-contacts/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/media/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/media/media-contacts/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/media/asset-library/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/media/press-releases/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/media/live-broadcast/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/amea/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/australia/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/bahrain/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/china/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/egypt/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/india/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/indonesia/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/japan/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/malaysia/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/morocco/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/new-zealand/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/nigeria/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/pakistan/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/philippines/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/uae-saudi-arabia/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/singapore/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/south-africa/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/thailand/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/uae-saudi-arabia/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/vietnam/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/europe/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/europe/northern-europe/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/denmark/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/finland/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/ireland/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/norway/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/sweden/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/united-kingdom/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/europe/central-europe/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/bulgaria-romania-eam/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/germany-austria/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/bulgaria-romania-eam/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/bulgaria-romania-eam/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/bulgaria-romania-eam/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/greece-cyprus/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/czechia-slovakia-hungary/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/poland-baltics/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/germany-austria/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/greece-cyprus/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/czechia-slovakia-hungary/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/bulgaria-romania-eam/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/poland-baltics/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/poland-baltics/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/bulgaria-romania-eam/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/bulgaria-romania-eam/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/poland-baltics/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/bulgaria-romania-eam/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/bulgaria-romania-eam/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/czechia-slovakia-hungary/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/bulgaria-romania-eam/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/switzerland/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/europe/western-europe/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/belgium-luxembourg-netherlands/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/france/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/italy/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/belgium-luxembourg-netherlands/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/belgium-luxembourg-netherlands/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/portugal/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/spain/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/europe/eastern-europe/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/central-asia-caucasus/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/russia/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/turkey/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/ukraine/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/argentina/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/brazil/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/colombia/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/costa-rica/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/mexico/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/canada/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/united-states/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/contact-us/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/snacking-made-right/reporting-and-disclosure/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/our-brands/tang/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/our-brands/cadbury/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/our-brands/philadelphia/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/our-brands/toblerone/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/our-brands/halls/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/our-brands/milka/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/our-brands/oreo/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/our-brands/belvita/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/our-brands/tang/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/our-brands/cadbury/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/our-brands/philadelphia/,Mondelez International,mondelezinternational.com
